      Step     Time          Energy          fmax
BFGS:    0 17:14:50     -102.693731        2.011311
BFGS:    1 18:46:49     -102.733989        0.698901
BFGS:    2 21:02:54     -102.747239        0.631279
BFGS:    3 23:11:16     -102.824474        1.169290
BFGS:    4 01:00:36     -102.944322        1.258670
BFGS:    5 02:54:44     -102.986045        0.818298
BFGS:    6 04:20:02     -103.033346        0.722271
BFGS:    7 10:52:53     -103.085506        1.799873
